,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,Ngunguru,20,NZ,1554422584,68,-35.62,174.5,292.59,3.13
286,San-Pedro,36,CI,1554422598,86,4.75,-6.64,300.267,4.21
287,Avera,1,US,1554422450,42,33.19,-82.53,295.15,3.6
288,Labuhan,92,ID,1554422345,95,-2.54,115.51,296.417,1.41
289,Qaanaaq,64,GL,1554422598,86,77.48,-69.36,257.667,2.46
290,Tieling,0,CN,1554422598,61,42.29,123.84,278.867,5.86
291,Wuwei,0,CN,1554422599,46,37.93,102.64,273.167,2.86
292,Kaitangata,92,NZ,1554422516,53,-46.28,169.85,285.37,4.92
293,Jinchang,0,CN,1554422308,63,38.52,102.19,273.667,3.26
294,Pangnirtung,8,CA,1554422354,63,66.15,-65.72,253.317,2.86
295,Saint-Georges,76,CA,1554421629,54,46.12,-70.67,269.82,5.36
296,Ponta do Sol,48,BR,1554422591,94,-20.63,-46.0,292.567,0.71
297,Arroyo,1,US,1554422563,38,41.39,-78.88,283.15,1.21
298,Sibu,75,MY,1554418800,94,2.29,111.83,298.15,1.5
299,Abha,0,SA,1554418800,93,18.22,42.5,289.15,5.1
300,Podor,0,MR,1554418800,38,16.65,-14.96,298.15,1.0
301,Petropavlovsk-Kamchatskiy,90,RU,1554418800,89,53.05,158.65,275.15,2.0
302,Narsaq,92,GL,1554418200,20,60.91,-46.05,280.15,7.7
303,Peterhead,0,AU,1554422561,23,-34.83,138.5,304.82,8.7
304,Mazagao,75,BR,1554418800,100,-0.12,-51.29,298.15,2.1
305,Farmington,1,US,1554422407,20,36.73,-108.21,291.15,2.6
306,Aswan,0,EG,1554418800,26,24.09,32.9,294.15,5.1
307,Morgan City,90,US,1554422503,100,29.7,-91.21,290.37,3.1
308,Maralal,36,KE,1554422602,90,1.1,36.7,286.817,1.11
309,Kyzyl-Suu,8,KG,1554422603,100,42.34,78.0,275.967,1.66
310,Nikolskoye,0,RU,1554422438,44,59.7,30.79,278.15,2.0
311,Norman Wells,20,CA,1554418800,51,65.28,-126.83,262.15,5.1
312,Selb,90,DE,1554422599,93,50.17,12.13,280.93,2.6
313,Hazaribag,8,IN,1554422603,60,23.98,85.35,292.067,2.21
314,Rocha,48,UY,1554422604,77,-34.48,-54.34,292.817,6.36
315,San Antonio,0,CL,1554418800,82,-33.58,-71.61,291.15,2.1
316,Outjo,0,NA,1554422604,76,-20.11,16.16,287.967,1.21
317,Kolobrzeg,8,PL,1554422345,56,54.18,15.58,283.15,6.26
318,San Cristobal,92,EC,1554422519,87,-0.39,-78.55,284.82,0.45
319,Naruto,75,JP,1554422520,57,34.18,134.62,289.15,4.1
320,Bonavista,36,CA,1554422545,77,48.65,-53.11,272.59,8.49
321,Kurumkan,8,RU,1554422605,76,54.33,110.32,260.817,0.86
322,Nichinan,75,JP,1554422552,51,31.65,131.31,288.15,7.2
323,Keila,0,EE,1554422589,55,59.31,24.42,278.15,1.5
324,Koshki,64,RU,1554422606,91,54.2,50.47,272.967,3.11
325,Praia,0,BR,1554418800,73,-20.25,-43.81,297.15,2.1
326,Hithadhoo,64,MV,1554422289,100,-0.6,73.08,300.717,1.56
327,Pemba,0,MZ,1554422607,100,-12.97,40.52,301.467,3.51
328,Alim,0,NG,1554422607,87,7.18,7.33,298.067,5.26
329,Saquena,24,PE,1554422607,62,-4.67,-73.52,302.417,2.31
330,Rognan,0,NO,1554422480,64,67.1,15.4,274.15,7.7
331,Teya,75,MX,1554417780,22,21.05,-89.07,311.15,5.1
332,Bereda,40,ES,1554422589,93,43.27,-7.54,280.93,4.1
333,Carnarvon,8,ZA,1554422608,75,-30.97,22.13,284.767,7.16
334,Muscat,0,OM,1554418200,74,23.6,58.55,300.15,2.6
335,Worland,1,US,1554422446,20,44.02,-107.96,292.15,2.1
336,Madimba,0,CM,1554418800,100,4.42,9.93,297.15,0.5
337,Gornyak,56,KZ,1554422609,77,51.0,81.46,275.217,3.36
338,Daru,12,SL,1554422609,77,7.99,-10.85,298.717,2.86
339,Whitecourt,75,CA,1554418800,72,54.14,-115.68,274.15,2.6
340,Nantucket,1,US,1554422565,20,41.28,-70.1,281.48,5.1
341,Sovetskiy,0,RU,1554422610,71,56.76,48.47,266.267,3.71
342,Anadyr,0,RU,1554422554,85,64.73,177.51,265.93,2.0
343,Pagudpud,20,PH,1554422400,78,18.56,120.79,301.15,4.1
344,Belyy Yar,0,RU,1554418800,68,53.6,91.39,269.15,2.0
345,Miles City,40,US,1554422243,29,46.41,-105.84,292.15,6.7
346,Saskylakh,0,RU,1554422589,81,71.97,114.09,262.767,3.21
347,Flinders,40,AU,1554422528,72,-34.58,150.85,294.26,2.1
348,Gibara,40,CU,1554418200,65,21.11,-76.13,300.15,9.3
349,Seymchan,0,RU,1554422611,86,62.93,152.39,271.517,3.66
350,Ostrowiec Swietokrzyski,8,PL,1554422593,42,50.93,21.39,282.59,0.45
351,Beipiao,8,CN,1554422612,27,41.8,120.76,278.067,6.61
352,Owando,8,CG,1554422612,96,-0.49,15.91,296.367,1.41
353,Saurimo,56,AO,1554422612,87,-9.66,20.4,293.967,1.26
354,Pucara,40,BO,1554418800,39,-16.6,-68.57,283.15,3.6
355,Mackenzie,75,CA,1554418800,48,55.34,-123.09,280.15,5.7
356,Yarega,0,RU,1554422614,77,63.43,53.58,272.467,3.26
357,Boguchany,0,RU,1554422614,82,58.38,97.46,267.017,1.46
358,Iranshahr,0,IR,1554422614,52,27.21,60.69,291.067,1.06
359,Peniche,20,PT,1554422475,81,39.36,-9.38,284.26,3.6
360,Togur,36,RU,1554422615,70,58.36,82.83,265.617,1.16
361,Guerrero Negro,0,MX,1554422335,61,27.97,-114.04,291.817,5.56
362,Lebu,75,ET,1554418800,93,8.96,38.73,286.15,1.0
363,Rila,0,BG,1554422467,92,42.13,23.13,279.15,6.7
364,Axim,48,GH,1554422615,100,4.87,-2.24,300.867,6.61
365,Utiel,0,ES,1554422587,87,39.57,-1.21,284.26,1.5
366,Acapulco,5,MX,1554418080,66,16.86,-99.88,303.15,5.7
367,Okha,92,RU,1554422616,97,53.59,142.95,272.667,8.06
368,Dwarka,8,IN,1554420600,57,28.58,77.04,298.15,1.06
369,Le Port,64,FR,1554422510,59,42.87,1.37,277.59,0.45
370,Alexandria,90,US,1554422155,93,31.31,-92.44,292.59,3.1
371,Antalaha,80,MG,1554422618,98,-14.9,50.28,297.417,2.66
372,Alofi,75,NU,1554418800,78,-19.06,-169.92,301.15,4.6
373,Yarada,20,IN,1554418800,88,17.65,83.27,298.15,1.0
374,Minot,1,US,1554422610,44,48.23,-101.3,289.15,6.2
375,Ranong,20,TH,1554418800,100,9.96,98.62,297.15,2.41
376,Nyazepetrovsk,0,RU,1554422619,80,56.06,59.6,265.817,1.46
377,Waddan,32,LY,1554422619,42,29.16,16.14,291.117,2.86
378,Peshkovo,0,RU,1554418800,80,47.02,39.39,276.15,4.0
379,Jimenez,40,PA,1554418800,62,8.54,-82.37,303.15,3.6
380,Husavik,92,CA,1554422428,95,50.56,-96.99,275.37,4.47
381,La Asuncion,92,EC,1554422620,98,-1.64,-78.74,283.167,0.16
382,Masuguru,8,MZ,1554422620,86,-11.38,38.46,296.767,2.16
383,Novo Aripuana,12,BR,1554422620,81,-5.12,-60.38,301.017,1.66
384,Saryozek,92,KZ,1554422621,82,44.36,77.98,276.967,1.21
385,Broome,12,GB,1554422308,87,52.47,1.45,281.48,4.6
386,Necochea,0,AR,1554422481,74,-38.55,-58.74,289.82,4.47
387,Melfi,90,IT,1554418500,93,41.0,15.66,277.15,7.2
388,Beziers,0,FR,1554422526,74,43.35,3.22,278.15,1.5
389,Ancud,90,CL,1554418800,76,-41.87,-73.83,284.15,1.5
390,Roald,0,NO,1554422104,86,62.58,6.12,278.71,7.7
391,Japura,92,ID,1554422622,99,-0.42,102.29,295.867,1.11
392,Robe,68,ET,1554422622,74,7.12,40.01,287.667,1.26
393,Prienai,0,LT,1554420000,47,54.63,23.94,276.15,3.1
394,Vallenar,0,CL,1554422623,89,-28.58,-70.76,286.317,0.36
395,Zhezkazgan,0,KZ,1554422351,88,47.8,67.71,273.617,2.16
396,Tezu,92,IN,1554422353,79,27.93,96.16,285.517,0.61
397,Arkadak,92,RU,1554422623,97,51.94,43.49,273.417,2.66
398,Klaksvik,8,FO,1554421800,93,62.23,-6.59,279.15,5.7
399,Volchansk,0,RU,1554422624,70,59.94,60.08,266.217,1.86
400,Ballina,64,IE,1554422584,92,54.11,-9.15,277.59,0.89
401,Kapuskasing,5,CA,1554418800,36,49.42,-82.43,271.15,2.6
402,Riberalta,75,BO,1554418800,70,-11.0,-66.08,303.15,0.51
403,Qianan,88,CN,1554422625,64,44.99,124.06,276.717,8.86
404,Tarakan,48,ID,1554422625,100,3.3,117.63,299.117,1.51
405,Anamur,0,TR,1554418200,100,36.08,32.84,283.15,2.1
406,Conde,0,BR,1554422587,100,-11.81,-37.61,298.767,2.66
407,Okhotsk,92,RU,1554422329,73,59.36,143.24,275.017,3.01
408,Mier,92,IT,1554422624,93,46.13,12.19,286.15,1.0
409,Tomatlan,0,MX,1554422626,51,19.93,-105.25,301.217,1.61
410,Harper,1,US,1554422621,20,30.3,-99.24,304.15,4.6
411,Ville-Marie,1,CA,1554418800,42,47.33,-79.44,271.15,2.1
412,Sabang,64,PH,1554422627,100,13.72,123.58,297.667,1.36
413,Chippewa Falls,90,US,1554422611,96,44.94,-91.39,276.15,3.6
414,Gilgit,92,PK,1554422442,98,35.92,74.31,273.217,0.26
415,Aksarka,64,RU,1554422627,86,66.56,67.8,270.567,6.86
416,Hovd,75,NO,1554422464,73,63.83,10.7,280.15,5.1
417,Karakol,8,KG,1554422628,84,42.49,78.39,268.617,0.96
418,Cabedelo,0,BR,1554418800,83,-6.97,-34.84,300.15,2.6
419,Baneh,40,IR,1554418800,100,35.99,45.88,282.15,2.6
420,Mercedes,36,UY,1554422401,58,-33.25,-58.03,292.617,9.06
421,Rio Pomba,0,BR,1554418800,88,-21.28,-43.18,295.15,1.5
422,Turukhansk,20,RU,1554422629,79,65.8,87.96,261.167,1.36
423,Aasiaat,76,GL,1554422629,90,68.71,-52.87,271.017,3.31
424,Kibala,0,TD,1554418800,30,9.11,18.35,303.15,2.41
425,Namatanai,88,PG,1554422578,100,-3.66,152.44,300.017,1.76
426,Pacific Grove,90,US,1554422437,76,36.62,-121.92,290.93,4.6
427,Matara,56,PE,1554422630,48,-13.74,-72.9,283.367,0.86
428,Suntar,64,RU,1554422630,79,62.16,117.65,272.467,1.41
429,Port Lincoln,48,AU,1554422630,69,-34.72,135.86,295.767,10.61
430,Biloela,0,AU,1554422631,57,-24.4,150.51,297.417,5.76
431,Kiunga,36,PG,1554422631,83,-6.12,141.3,300.467,1.31
432,Kysyl-Syr,24,RU,1554422631,71,63.9,122.77,270.317,1.61
433,Luderitz,0,NA,1554422631,76,-26.65,15.16,289.917,8.06
434,Huilong,0,CN,1554422632,88,28.89,110.18,282.417,0.91
435,Mount Darwin,76,ZW,1554422632,83,-16.77,31.58,289.667,2.01
436,Otavi,0,NA,1554422632,85,-19.64,17.34,287.217,1.41
437,Willowmore,92,ZA,1554422632,96,-33.3,23.49,285.117,1.21
438,Horsham,12,AU,1554422633,61,-36.71,142.2,293.767,6.66
439,Vao,0,EE,1554422600,82,59.1,26.19,273.167,2.36
440,Esperance,20,TT,1554422106,69,10.24,-61.45,300.15,4.6
441,Natal,20,BR,1554418800,83,-5.81,-35.21,300.15,1.5
442,Buctzotz,24,MX,1554422633,45,21.2,-88.79,303.167,2.41
443,Talcahuano,0,CL,1554418800,71,-36.72,-73.12,287.15,5.7
444,Gushikawa,1,JP,1554422553,94,26.35,127.87,293.15,6.7
445,Cam Ranh,20,VN,1554420600,78,11.92,109.15,298.15,2.1
446,Sangre Grande,20,TT,1554422484,69,10.59,-61.13,300.15,4.6
447,Bantogon,32,PH,1554422634,69,6.53,124.03,299.167,0.41
448,Bakchar,76,RU,1554422634,75,57.02,82.07,271.517,2.66
449,Krasnogorsk,0,RU,1554422044,59,55.82,37.34,277.04,2.0
450,Camacha,40,PT,1554420600,67,33.08,-16.33,289.15,7.7
451,Yangambi,8,CD,1554422635,88,0.77,24.47,298.417,0.76
452,Mahibadhoo,0,MV,1554422480,100,3.78,72.97,301.767,2.11
453,Gander,75,CA,1554422530,50,48.95,-54.61,272.15,12.3
454,Myitkyina,44,MM,1554422636,96,25.38,97.4,289.817,1.71
455,Lazaro Cardenas,75,MX,1554422491,13,28.39,-105.62,301.15,8.2
456,Belaya Gora,48,RU,1554422636,96,68.54,146.19,263.167,2.01
457,Del Rio,1,US,1554418680,13,29.36,-100.9,305.15,3.6
458,Mao,20,DO,1554422423,69,19.55,-71.08,299.26,4.6
459,Moerai,68,PF,1554422637,100,-22.43,-151.33,297.267,3.56
460,Malinyi,8,TZ,1554422637,91,-8.94,36.14,293.867,0.31
461,San Policarpo,80,PH,1554422606,100,12.18,125.51,298.367,2.11
462,Podgornoye,44,RU,1554422638,66,57.79,82.64,267.967,1.81
463,Sao Miguel,64,BR,1554422638,84,4.52,-61.01,294.667,1.26
464,Yumen,0,CN,1554422638,30,40.29,97.04,281.217,5.16
465,Catuday,0,PH,1554422638,100,16.29,119.81,299.167,2.86
466,Valparaiso,90,US,1554422602,87,41.47,-87.06,280.37,6.7
467,Wagga Wagga,40,AU,1554422415,56,-35.12,147.37,294.82,7.7
468,Karratha,0,AU,1554422639,66,-20.74,116.85,299.067,1.61
469,Salalah,40,OM,1554418200,74,17.01,54.1,299.15,2.06
470,Manokwari,24,ID,1554422639,100,-0.87,134.08,300.567,0.96
471,Shakhtinsk,90,KZ,1554420600,93,49.71,72.59,280.15,5.0
472,Palm City,12,PK,1554422520,61,33.58,73.11,294.26,0.45
473,Verkhoyansk,0,RU,1554422640,79,67.55,133.39,267.967,1.66
474,Carbonear,20,CA,1554422545,92,47.73,-53.24,273.71,11.8
475,Kingston,20,CA,1554422542,59,44.23,-76.48,275.93,5.7
476,Mezinovskiy,92,RU,1554422642,86,55.48,40.41,272.817,4.36
477,Birin,92,SY,1554422642,93,35.01,36.67,281.467,1.66
478,Chake Chake,76,TZ,1554422642,100,-5.25,39.77,300.917,3.66
479,Adrar,40,DZ,1554418800,68,27.87,-0.29,291.15,8.2
480,Tongchuan,0,CN,1554418800,66,34.9,108.95,282.15,2.0
481,Kirtipur,75,NP,1554420000,93,27.68,85.28,288.15,1.5
482,Dali,0,CN,1554422644,100,25.6,100.24,278.267,0.96
483,Cayenne,75,GF,1554420600,88,4.94,-52.33,298.15,3.6
484,Kasungu,8,MW,1554422644,87,-13.04,33.48,286.517,1.51
485,Saint Anthony,75,US,1554422494,50,43.97,-111.68,286.15,6.2
486,San Juan,20,PH,1554422585,66,14.6,121.03,302.59,4.1
487,Balvi,12,LV,1554422646,75,57.13,27.27,272.017,2.01
488,Tiznit,56,MA,1554422646,98,29.7,-9.73,287.317,4.56
489,Solnechnyy,48,RU,1554422088,75,50.72,136.64,272.067,1.86
490,Novo Horizonte,24,BR,1554422647,93,-12.81,-42.17,292.067,1.21
491,Krishnarajpet,20,IN,1554422647,90,12.65,76.49,291.117,1.36
492,Pasni,8,PK,1554422435,64,25.26,63.48,301.667,7.26
493,Yenagoa,56,NG,1554422648,85,4.92,6.26,299.867,3.81
494,San Patricio,92,PY,1554422597,97,-26.98,-56.83,296.267,2.51
495,Te Anau,32,NZ,1554422618,81,-45.41,167.72,279.667,2.51
496,Honiara,36,SB,1554422648,81,-9.43,159.96,301.567,1.31
497,Moussoro,0,TD,1554422421,34,13.64,16.49,295.667,1.91
498,Jamame,20,SO,1554422648,94,0.07,42.75,297.867,2.51
499,Morondava,64,MG,1554422649,100,-20.3,44.28,297.117,1.16
500,Whitehorse,75,CA,1554422531,49,60.72,-135.06,270.37,4.6
501,Taksimo,56,RU,1554422649,60,56.36,114.84,266.817,1.26
502,Zambezi,0,ZM,1554422650,75,-13.55,23.12,291.767,3.31
503,Takoradi,76,GH,1554422650,100,4.89,-1.75,300.467,5.21
504,Tocopilla,0,CL,1554422650,91,-22.09,-70.2,290.967,1.31
505,Igarka,68,RU,1554422650,89,67.47,86.57,266.167,4.11
506,Elesbao Veloso,88,BR,1554422650,95,-6.2,-42.14,295.717,0.96
507,Ygatimi,0,PY,1554422651,88,-24.08,-55.5,297.967,0.91
508,Sao Borja,92,BR,1554422420,99,-28.66,-56.0,294.917,1.96
509,Ceres,68,AR,1554422651,64,-29.88,-61.95,290.967,6.71
510,Miri,0,NG,1554422640,58,10.31,9.75,293.467,0.96
511,Khanu Woralaksaburi,0,TH,1554422651,94,16.06,99.86,295.267,1.41
512,Quatre Cocos,20,MU,1554422642,88,-20.21,57.76,297.59,0.5
513,Ziarat,12,PK,1554422652,83,30.38,67.73,277.067,1.51
514,Mwinilunga,0,ZM,1554422652,86,-11.73,24.43,290.667,1.46
515,Madisonville,90,US,1554422636,58,37.33,-87.5,290.15,3.1
516,Vilyuysk,68,RU,1554422653,77,63.75,121.63,270.417,1.66
517,Timra,92,SE,1554422119,86,62.49,17.33,275.15,3.1
518,Salym,0,RU,1554422601,79,60.06,71.48,266.467,1.91
519,Hargeysa,36,SO,1554422653,93,9.56,44.06,290.167,1.11
520,Hermiston,1,US,1554422457,31,45.84,-119.29,292.04,2.1
521,Pacifica,75,US,1554422517,59,37.61,-122.49,290.37,4.1
522,Ahipara,88,NZ,1554422365,83,-35.17,173.16,292.217,4.11
523,Blythe,1,US,1554422600,17,33.61,-114.59,301.48,6.2
524,Tigzirt,0,DZ,1554422308,80,36.57,4.2,283.71,0.89
525,Araouane,0,ML,1554422654,30,18.9,-3.53,302.417,6.51
526,Charters Towers,24,AU,1554422654,90,-20.07,146.27,295.917,6.16
527,Chenzhou,56,CN,1554422655,100,25.81,113.03,285.967,1.81
528,Maragogi,8,BR,1554422651,96,-9.01,-35.22,298.667,2.66
529,Xinzhi,75,TW,1554422395,83,22.54,120.62,298.15,3.6
530,Gbadolite,8,CD,1554422655,73,4.28,21.0,297.167,1.66
531,Prescott,1,US,1554422496,23,34.54,-112.47,293.15,5.1
532,Dillon,90,US,1554422444,40,45.22,-112.64,286.48,3.6
533,Arman,0,RU,1554422656,66,59.7,150.17,275.567,5.01
534,Seeboden,75,AT,1554422593,93,46.82,13.52,282.15,0.5
535,Kolyshley,92,RU,1554422656,97,52.7,44.54,273.417,3.76
536,North Las Vegas,40,US,1554422653,21,36.2,-115.11,297.15,8.7
537,Naze,12,NG,1554422570,91,5.43,7.07,296.917,3.31
538,Xining,0,CN,1554422610,70,36.62,101.77,267.567,1.16
539,Santa Maria,90,BR,1554418800,100,-29.69,-53.81,297.15,2.1
540,Abu Dhabi,0,AE,1554418800,39,24.47,54.37,302.15,3.6
541,Ardrishaig,80,GB,1554422433,81,56.02,-5.45,279.15,13.9
542,Amga,36,RU,1554422660,65,60.89,131.98,269.967,1.61
543,Apatity,12,RU,1554422660,88,67.57,33.4,264.667,1.46
544,Humberto de Campos,92,BR,1554422374,100,-2.6,-43.46,298.717,2.86
545,Vagur,92,FO,1554422660,95,61.47,-6.81,281.017,11.56
546,Viedma,0,AR,1554422575,60,-40.81,-62.99,287.167,3.91
547,Hagonoy,75,PH,1554422585,74,14.84,120.73,302.59,3.1
548,Kieta,88,PG,1554422614,100,-6.22,155.63,299.967,1.41
549,Erenhot,64,CN,1554422661,57,43.65,111.97,274.667,8.26
550,Alice Town,92,BS,1554422661,100,25.72,-79.3,297.317,8.51
551,Hamilton,90,BM,1554421581,68,32.3,-64.78,291.15,5.7
552,Durusu,75,TR,1554420000,100,37.53,40.83,282.15,1.0
553,Kungurtug,92,RU,1554422662,95,50.6,97.53,272.067,1.46
554,Buta,0,CD,1554422662,88,2.79,24.73,294.967,0.96
555,Santa Cruz,90,US,1554422401,67,36.97,-122.03,290.93,5.1
556,Sergeyevka,92,KZ,1554422663,96,53.88,67.42,273.317,5.81
557,Ambunti,24,PG,1554422663,96,-4.22,142.82,299.467,1.16
558,Benjamin Aceval,20,PY,1554418800,83,-24.97,-57.57,300.15,1.21
559,Houma,0,CN,1554422663,69,35.63,111.36,282.917,0.71
560,Verkhnyaya Sinyachikha,0,RU,1554422664,70,57.98,61.67,263.717,1.26
561,Yongan,64,CN,1554422594,42,39.7,113.69,278.467,2.06
562,Calama,40,CL,1554422469,58,-22.46,-68.93,287.15,8.7
563,Awjilah,80,LY,1554422664,38,29.14,21.3,290.817,4.41
564,Bikaner,8,IN,1554422572,36,28.02,73.32,297.167,1.26
565,Muhos,92,FI,1554422435,100,64.81,26.0,272.59,3.6
566,Coracora,0,PE,1554422665,61,-15.02,-73.78,277.967,1.01
567,Mugumu,36,TZ,1554422665,90,-1.84,34.67,288.317,2.11
568,Khor,8,RU,1554422665,54,47.88,134.96,275.167,5.16
569,Shimoni,44,KE,1554422665,100,-4.65,39.38,300.767,3.21
570,Ubauro,0,PK,1554422666,36,28.16,69.73,295.967,1.96
571,Sain Alto,0,MX,1554422666,16,23.58,-103.25,296.667,1.96
572,Lynn Haven,90,US,1554422631,68,30.25,-85.65,294.82,5.1
